brand,processor_brand,processor,processor_gnrtn,ram,ssd,hdd,os,os_bit,graphic_card_gb,warranty,msoffice,Price,rating,Number of Ratings,Number of Reviews
ASUS,Intel,Core i3,11th,8 GB,512 GB,0 GB,Windows,64-bit,0 GB,1 year,No,48990,4 stars,174,30
ASUS,Intel,Core i3,11th,8 GB,512 GB,0 GB,Windows,64-bit,0 GB,1 year,No,42990,4 stars,40,7
Lenovo,Intel,Core i3,10th,8 GB,512 GB,0 GB,Windows,64-bit,0 GB,1 year,No,38990,3 stars,13,1
DELL,Intel,Core i3,11th,8 GB,512 GB,0 GB,Windows,64-bit,0 GB,No warranty,No,45990,4 stars,184,29
HP,Intel,Core i3,10th,8 GB,512 GB,0 GB,Windows,64-bit,0 GB,1 year,Yes,42490,4 stars,1296,126
HP,Intel,Core i3,11th,8 GB,512 GB,0 GB,Windows,64-bit,0 GB,1 year,Yes,43970,4 stars,571,56
ASUS,Intel,Core i3,10th,4 GB,512 GB,0 GB,Windows,64-bit,0 GB,1 year,Yes,39990,4 stars,2551,297
MSI,Intel,Core i3,11th,8 GB,512 GB,0 GB,Windows,64-bit,0 GB,No warranty,No,48990,4 stars,17,3
HP,Intel,Core i3,11th,8 GB,512 GB,0 GB,Windows,64-bit,0 GB,1 year,Yes,54990,4 stars,35,3
MSI,Intel,Core i3,10th,8 GB,512 GB,0 GB,Windows,64-bit,0 GB,No warranty,No,40990,4 stars,118,17
ASUS,Intel,Core i3,11th,8 GB,512 GB,0 GB,Windows,64-bit,0 GB,1 year,Yes,41990,3 stars,0,0
Lenovo,Intel,Core i3,11th,8 GB,512 GB,0 GB,Windows,64-bit,0 GB,1 year,No,54990,4 stars,245,34
ASUS,Intel,Core i3,11th,8 GB,512 GB,0 GB,Windows,64-bit,0 GB,1 year,Yes,44990,4 stars,2058,305
HP,Intel,Core i3,11th,8 GB,512 GB,0 GB,Windows,64-bit,0 GB,1 year,No,41250,4 stars,117,11
HP,Intel,Core i3,11th,8 GB,512 GB,0 GB,Windows,64-bit,0 GB,No warranty,No,44990,3 stars,0,0
ASUS,Intel,Core i3,11th,8 GB,512 GB,0 GB,Windows,64-bit,0 GB,1 year,No,42990,4 stars,74,11
DELL,Intel,Core i3,11th,8 GB,512 GB,0 GB,Windows,64-bit,0 GB,1 year,No,60790,4 stars,10,1
HP,Intel,Core i3,11th,8 GB,512 GB,0 GB,Windows,64-bit,0 GB,No warranty,No,45650,4 stars,39,4
DELL,Intel,Core i3,10th,8 GB,512 GB,0 GB,Windows,64-bit,0 GB,1 year,Yes,41990,3 stars,29,7
DELL,Intel,Core i3,10th,8 GB,512 GB,0 GB,Windows,64-bit,0 GB,1 year,No,45490,4 stars,43,4
ASUS,Intel,Core i3,11th,8 GB,512 GB,0 GB,Windows,64-bit,0 GB,1 year,Yes,44990,3 stars,0,0
Lenovo,Intel,Core i3,11th,8 GB,512 GB,0 GB,Windows,64-bit,0 GB,2 years,Yes,42990,4 stars,984,99
HP,Intel,Core i3,11th,4 GB,512 GB,0 GB,Windows,64-bit,0 GB,1 year,Yes,45490,4 stars,523,66
HP,Intel,Core i3,10th,4 GB,512 GB,0 GB,Windows,32-bit,0 GB,No warranty,No,38799,4 stars,30,1
HP,Intel,Core i3,11th,4 GB,512 GB,0 GB,Windows,64-bit,0 GB,1 year,Yes,69267,3 stars,0,0
ASUS,Intel,Core i3,11th,4 GB,512 GB,0 GB,Windows,64-bit,0 GB,1 year,Yes,51649,3 stars,0,0
HP,Intel,Core i3,11th,4 GB,512 GB,0 GB,Windows,64-bit,0 GB,1 year,Yes,47990,4 stars,1605,215
ASUS,Intel,Core i3,10th,4 GB,512 GB,0 GB,Windows,64-bit,0 GB,1 year,No,40990,4 stars,4008,519
ASUS,Intel,Core i3,10th,4 GB,512 GB,0 GB,Windows,64-bit,0 GB,1 year,Yes,42990,4 stars,1869,234
ASUS,Intel,Core i3,11th,4 GB,512 GB,0 GB,Windows,64-bit,0 GB,1 year,No,44890,3 stars,7,0
ASUS,Intel,Core i3,10th,4 GB,512 GB,0 GB,Windows,64-bit,0 GB,1 year,No,41490,4 stars,4008,519
HP,Intel,Core i3,11th,4 GB,512 GB,0 GB,Windows,32-bit,0 GB,1 year,No,50990,3 stars,0,0
HP,Intel,Core i3,11th,4 GB,512 GB,0 GB,Windows,64-bit,0 GB,1 year,Yes,48900,4 stars,1278,135
DELL,Intel,Core i3,10th,4 GB,512 GB,0 GB,Windows,64-bit,0 GB,No warranty,No,41790,3 stars,0,0
Lenovo,Intel,Core i3,11th,4 GB,512 GB,0 GB,Windows,64-bit,0 GB,1 year,Yes,57999,3 stars,10,2
DELL,Intel,Core i3,11th,8 GB,512 GB,0 GB,Windows,64-bit,0 GB,No warranty,No,45930,3 stars,0,0
HP,Intel,Core i3,11th,8 GB,512 GB,0 GB,Windows,64-bit,0 GB,1 year,Yes,55490,4 stars,143,15
ASUS,Intel,Core i3,10th,8 GB,0 GB,1024 GB,Windows,64-bit,0 GB,1 year,No,32890,3 stars,28,4
Lenovo,Intel,Core i3,10th,8 GB,0 GB,1024 GB,Windows,64-bit,0 GB,1 year,Yes,35990,4 stars,2124,233
DELL,Intel,Core i3,11th,8 GB,0 GB,1024 GB,Windows,64-bit,0 GB,No warranty,No,42490,4 stars,276,40
DELL,Intel,Core i3,11th,8 GB,0 GB,1024 GB,Windows,64-bit,0 GB,No warranty,No,42190,3 stars,250,21
DELL,Intel,Core i3,10th,8 GB,0 GB,1024 GB,Windows,64-bit,0 GB,1 year,Yes,39490,4 stars,1917,189
HP,Intel,Core i3,11th,8 GB,0 GB,1024 GB,Windows,64-bit,0 GB,1 year,Yes,43690,4 stars,4999,490
ASUS,Intel,Core i3,10th,4 GB,0 GB,1024 GB,Windows,64-bit,0 GB,1 year,No,35990,3 stars,17,0
DELL,Intel,Core i3,11th,8 GB,0 GB,1024 GB,Windows,32-bit,0 GB,No warranty,No,43800,4 stars,17,0
Lenovo,Intel,Core i3,10th,8 GB,0 GB,1024 GB,Windows,32-bit,0 GB,No warranty,No,38990,3 stars,0,0
ASUS,Intel,Core i3,10th,4 GB,0 GB,1024 GB,Windows,64-bit,0 GB,1 year,No,34990,3 stars,4203,490
ASUS,Intel,Core i3,11th,8 GB,0 GB,1024 GB,Windows,64-bit,0 GB,1 year,No,38900,3 stars,13,0
DELL,Intel,Core i3,10th,4 GB,0 GB,1024 GB,Windows,64-bit,0 GB,1 year,No,39990,3 stars,15,1
DELL,Intel,Core i3,10th,4 GB,0 GB,1024 GB,Windows,32-bit,0 GB,No warranty,No,40890,4 stars,527,46
Lenovo,Intel,Core i3,10th,4 GB,0 GB,1024 GB,Windows,64-bit,0 GB,1 year,No,36990,3 stars,103,10
HP,Intel,Core i3,11th,4 GB,0 GB,1024 GB,Windows,64-bit,0 GB,1 year,Yes,39990,3 stars,324,45
HP,Intel,Core i3,11th,4 GB,0 GB,1024 GB,Windows,64-bit,0 GB,1 year,Yes,41990,4 stars,69,5
